division_id,matchweek,date,time,home_team_id,away_team_id,goals_home_team,goals_away_team,status
1,1,2019-09-05,14:30:00,33,67,0,4,NULL
1,1,2019-09-05,15:00:00,17,52,2,1,NULL
1,1,2019-09-05,14:30:00,16,49,0,2,NULL
1,1,2019-09-05,15:30:00,10,56,4,3,NULL
1,1,2019-09-05,16:00:00,8,30,9,5,NULL
1,1,2019-09-05,15:30:00,13,4,3,1,NULL
1,2,2019-09-12,14:30:00,67,17,1,1,NULL
1,2,2019-09-12,14:30:00,52,16,2,2,NULL
1,2,2019-09-12,14:30:00,49,10,2,3,NULL
1,2,2019-09-12,14:30:00,56,8,0,3,NULL
1,2,2019-09-12,14:00:00,30,13,2,2,NULL
1,2,2019-09-12,14:30:00,4,33,1,2,NULL
1,3,2019-09-19,15:00:00,17,33,2,2,NULL
1,3,2019-09-19,14:30:00,16,67,2,3,NULL
1,3,2019-09-19,15:30:00,10,52,1,1,NULL
1,3,2019-09-19,16:00:00,8,49,3,0,NULL
1,3,2019-09-19,15:30:00,13,56,3,0,NULL
1,3,2019-09-19,14:00:00,30,4,0,0,NULL
1,4,2019-09-26,14:30:00,33,16,0,0,NULL
1,4,2019-09-26,14:30:00,67,10,1,0,NULL
1,4,2019-09-26,14:30:00,52,8,1,4,NULL
1,4,2019-09-26,14:30:00,49,13,2,4,NULL
1,4,2019-09-26,14:30:00,56,30,4,0,NULL
1,4,2019-09-26,14:30:00,4,17,2,0,NULL
1,5,2019-10-03,14:30:00,16,17,1,1,NULL
1,5,2019-10-03,15:30:00,10,33,4,4,NULL
1,5,2019-10-03,16:00:00,8,67,3,1,NULL
1,5,2019-10-03,15:30:00,13,52,4,8,NULL
1,5,2019-10-03,14:00:00,30,49,1,9,NULL
1,5,2019-10-03,14:30:00,56,4,0,8,NULL
1,6,2019-10-10,15:00:00,17,10,0,2,NULL
1,6,2019-10-10,14:30:00,33,8,3,3,NULL
1,6,2019-10-10,14:30:00,67,13,4,1,NULL
1,6,2019-10-10,14:30:00,52,30,2,1,NULL
1,6,2019-10-10,14:30:00,56,49,4,0,NULL
1,6,2019-10-10,14:30:00,4,16,5,2,NULL
1,7,2019-10-17,15:30:00,10,16,0,4,NULL
1,7,2019-10-17,16:00:00,8,17,4,1,NULL
1,7,2019-10-17,15:30:00,13,33,4,0,NULL
1,7,2019-10-17,14:00:00,30,67,2,0,NULL
1,7,2019-10-17,15:00:00,56,52,6,5,NULL
1,7,2019-10-17,14:30:00,49,4,3,0,NULL
1,8,2019-10-24,16:00:00,8,16,0,0,NULL
1,8,2019-10-24,15:00:00,17,13,0,2,NULL
1,8,2019-10-24,14:30:00,33,30,2,3,NULL
1,8,2019-10-24,14:30:00,67,56,0,1,NULL
1,8,2019-10-24,14:30:00,52,49,1,4,NULL
1,8,2019-10-24,14:30:00,4,10,1,0,NULL
1,9,2019-10-31,16:00:00,8,10,1,2,NULL
1,9,2019-10-31,14:45:00,13,16,0,1,NULL
1,9,2019-10-31,14:00:00,30,17,0,2,NULL
1,9,2019-10-31,15:00:00,56,33,6,6,NULL
1,9,2019-10-31,14:30:00,49,67,2,2,NULL
1,9,2019-10-31,14:30:00,52,4,2,1,NULL
1,10,2019-11-07,14:45:00,10,13,6,9,NULL
1,10,2019-11-07,14:30:00,16,30,4,7,NULL
1,10,2019-11-07,14:45:00,17,56,2,0,NULL
1,10,2019-11-07,14:30:00,49,33,1,2,NULL
1,10,2019-11-07,14:30:00,67,52,1,10,NULL
1,10,2019-11-07,14:30:00,4,8,1,1,NULL
1,11,2019-11-14,14:45:00,13,8,0,7,NULL
1,11,2019-11-14,14:00:00,30,10,3,3,NULL
1,11,2019-11-14,15:00:00,56,16,0,1,NULL
1,11,2019-11-14,14:30:00,49,17,0,2,NULL
1,11,2019-11-14,14:30:00,52,33,0,3,NULL
1,11,2019-11-14,14:30:00,67,4,2,3,NULL
1,12,2019-12-05,14:30:00,67,33,6,0,NULL
1,12,2019-12-05,14:30:00,52,17,4,2,NULL
1,12,2019-12-05,14:30:00,49,16,3,1,NULL
1,12,2019-12-05,15:00:00,56,10,0,0,NULL
1,12,2019-12-05,14:00:00,30,8,0,0,NULL
1,12,2019-12-05,14:30:00,4,13,1,1,NULL
1,13,2019-12-12,14:45:00,17,67,7,3,NULL
1,13,2019-12-12,14:30:00,33,4,3,3,NULL
1,13,2019-12-12,16:00:00,8,56,2,2,NULL
1,13,2019-12-12,14:45:00,10,49,0,10,NULL
1,13,2019-12-12,14:30:00,16,52,0,0,NULL
1,13,2019-12-12,14:45:00,13,30,5,0,NULL
1,14,2019-12-19,14:30:00,33,17,0,4,NULL
1,14,2019-12-19,14:30:00,67,16,4,0,NULL
1,14,2019-12-19,14:30:00,52,10,3,1,NULL
1,14,2019-12-19,14:30:00,49,8,4,0,NULL
1,14,2019-12-19,15:00:00,56,13,0,0,NULL
1,14,2019-12-19,14:30:00,4,30,4,0,NULL
1,15,2020-01-09,14:30:00,16,33,0,1,NULL
1,15,2020-01-09,14:45:00,10,67,2,0,NULL
1,15,2020-01-09,16:00:00,8,52,5,0,NULL
1,15,2020-01-09,14:45:00,13,49,1,6,NULL
1,15,2020-01-09,14:00:00,30,56,2,0,NULL
1,15,2020-01-09,14:45:00,17,4,4,0,NULL
1,16,2020-01-16,14:45:00,17,16,1,4,NULL
1,16,2020-01-16,14:30:00,33,10,1,0,NULL
1,16,2020-01-16,14:30:00,67,8,0,5,NULL
1,16,2020-01-16,14:30:00,52,13,4,2,NULL
1,16,2020-01-16,14:30:00,49,30,0,9,NULL
1,16,2020-01-16,14:30:00,4,56,1,4,NULL
1,17,2020-01-23,14:45:00,10,17,2,3,NULL
1,17,2020-01-23,16:00:00,8,33,4,2,NULL
1,17,2020-01-23,14:45:00,13,67,2,0,NULL
1,17,2020-01-23,14:00:00,30,52,2,0,NULL
1,17,2020-01-23,14:30:00,49,56,1,0,NULL
1,17,2020-01-23,14:30:00,16,4,0,2,NULL
1,18,2020-01-30,14:30:00,16,10,3,0,NULL
1,18,2020-01-30,14:45:00,17,8,2,0,NULL
1,18,2020-01-30,14:30:00,33,13,4,2,NULL
1,18,2020-01-30,14:30:00,67,30,0,0,NULL
1,18,2020-01-30,14:30:00,52,56,1,3,NULL
1,18,2020-01-30,14:30:00,4,49,1,4,NULL
1,19,2020-02-06,14:30:00,16,8,2,0,NULL
1,19,2020-02-06,14:45:00,13,17,2,3,NULL
1,19,2020-02-06,14:00:00,30,33,4,4,NULL
1,19,2020-02-06,15:00:00,56,67,0,8,NULL
1,19,2020-02-06,14:30:00,49,52,0,6,NULL
1,19,2020-02-06,14:45:00,10,4,8,0,NULL
1,20,2020-04-10,15:30:00,10,8,2,2,NULL
1,20,2020-04-10,14:30:00,16,13,2,4,NULL
1,20,2020-04-10,15:00:00,17,30,0,3,NULL
1,20,2020-04-10,14:30:00,33,56,2,2,NULL
1,20,2020-04-10,14:30:00,67,49,4,4,NULL
1,20,2020-04-10,14:30:00,4,52,4,8,NULL
1,21,2020-04-17,00:00:00,13,10,0,3,NULL
1,21,2020-04-17,14:00:00,30,16,0,3,NULL
1,21,2020-04-17,15:00:00,56,17,1,0,NULL
1,21,2020-04-17,14:30:00,49,33,0,3,NULL
1,21,2020-04-17,14:30:00,52,67,0,5,NULL
1,21,2020-04-17,16:00:00,8,4,0,4,NULL
1,22,2020-04-24,16:00:00,8,13,0,1,NULL
1,22,2020-04-24,15:30:00,10,30,3,1,NULL
1,22,2020-04-24,14:30:00,16,56,8,1,NULL
1,22,2020-04-24,15:00:00,17,49,3,1,NULL
1,22,2020-04-24,14:30:00,33,52,5,2,NULL
1,22,2020-04-24,14:30:00,4,67,0,5,NULL
2,1,2019-09-05,13:30:00,19,29,0,4,NULL
2,1,2019-09-05,14:30:00,42,5,1,5,NULL
2,1,2019-09-05,13:30:00,48,3,0,4,NULL
2,1,2019-09-05,14:30:00,43,50,3,0,NULL
2,1,2019-09-05,15:00:00,64,1,0,1,NULL
2,1,2019-09-05,14:00:00,51,58,2,3,NULL
2,2,2019-09-12,15:00:00,29,42,0,1,NULL
2,2,2019-09-12,16:00:00,5,48,0,9,NULL
2,2,2019-09-12,13:30:00,3,43,2,1,NULL
2,2,2019-09-12,13:30:00,50,64,0,0,NULL
2,2,2019-09-12,17:00:00,1,51,4,1,NULL
2,2,2019-09-12,14:30:00,58,19,4,0,NULL
2,3,2019-09-19,14:30:00,42,19,0,3,NULL
2,3,2019-09-19,13:30:00,48,29,0,2,NULL
2,3,2019-09-19,14:30:00,43,5,1,0,NULL
2,3,2019-09-19,15:00:00,64,3,2,2,NULL
2,3,2019-09-19,14:00:00,51,50,2,3,NULL
2,3,2019-09-19,17:00:00,1,58,0,1,NULL
2,4,2019-09-26,13:30:00,19,48,0,2,NULL
2,4,2019-09-26,15:00:00,29,43,1,1,NULL
2,4,2019-09-26,16:00:00,5,64,0,1,NULL
2,4,2019-09-26,00:00:00,3,51,0,3,NULL
2,4,2019-09-26,13:30:00,50,1,2,0,NULL
2,4,2019-09-26,14:30:00,58,42,4,0,NULL
2,5,2019-10-03,13:30:00,48,42,3,2,NULL
2,5,2019-10-03,14:30:00,43,19,0,0,NULL
2,5,2019-10-03,15:00:00,64,29,0,2,NULL
2,5,2019-10-03,14:00:00,51,5,5,0,NULL
2,5,2019-10-03,17:00:00,1,3,0,0,NULL
2,5,2019-10-03,13:30:00,50,58,3,1,NULL
2,6,2019-10-10,14:30:00,42,43,0,0,NULL
2,6,2019-10-10,13:30:00,19,64,4,0,NULL
2,6,2019-10-10,15:00:00,29,51,5,2,NULL
2,6,2019-10-10,16:00:00,5,1,0,1,NULL
2,6,2019-10-10,13:30:00,3,50,5,5,NULL
2,6,2019-10-10,14:30:00,58,48,4,5,NULL
2,7,2019-10-17,14:30:00,43,48,0,2,NULL
2,7,2019-10-17,15:00:00,64,42,5,0,NULL
2,7,2019-10-17,14:00:00,51,19,4,2,NULL
2,7,2019-10-17,17:00:00,1,29,0,2,NULL
2,7,2019-10-17,13:30:00,50,5,2,2,NULL
2,7,2019-10-17,13:30:00,3,58,2,0,NULL
2,8,2019-10-24,15:00:00,64,48,0,0,NULL
2,8,2019-10-24,14:30:00,42,51,5,1,NULL
2,8,2019-10-24,13:30:00,19,1,2,3,NULL
2,8,2019-10-24,15:00:00,29,50,0,0,NULL
